"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"1573","D","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2030.74","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_9.10 · 27_BP_D_3 · 27_BP_C_4","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1576","B","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2032.16","","2","","","—","—","—","—","—","26_5.3 · 27_9.10 · 27_BP_D_1 · 27_BP_D_2 · 27_BP_C_3","27_9.10 || ","Schongebiet (#1)","PZ3 (#6)","27_9.10"
"1577","B","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2032.06","","2","","","—","—","—","—","—","26_5.3 · 27_9.10 · 27_BP_D_1 · 27_BP_D_2 · 27_BP_C_3","27_9.10 || ","Schongebiet (#1)","PZ3 (#6)","27_9.10"
"1585","B","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2012.46","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1586","C","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2012.31","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1587","C","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2012.49","C2-5-1","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1588","B","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2012.62","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_BP_C_5 · 27_BP_C_4","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1596","C","26b-B06T05-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.57","","2","","","—","—","—","—","—","26_5.1 · 26_4.2 · 27_BP_C_1","26_5.1 || 2026-07-22","Schlussbauzone (#2)","PZ2 (#3)","26_5.1"
"1597","B","26b-B06T05-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.44","","2","","","—","—","—","—","—","26_5.1 · 26_5.2 · 26_4.2 · 27_BP_C_2 · 27_BP_C_1","26_5.1 || 2026-07-22","Schlussbauzone (#2)","PZ2 (#3)","26_5.1"
"1598","B","26b-B06T05-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.24","","2","","","—","—","—","—","—","26_5.1 · 26_5.2 · 27_BP_C_2 · 27_BP_C_1","26_5.1 || 2026-07-22","Schlussbauzone (#2)","PZ2 (#3)","26_5.1"
"1599","B","26b-B06T05-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.00","","2","","","—","—","—","—","—","26_5.1 · 26_5.2 · 27_BP_C_2 · 27_BP_C_1","26_5.1 || 2026-07-22","Schlussbauzone (#2)","PZ2 (#3)","26_5.1"
"1601","B","26b-B06T05-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2015.84","","2","","","—","—","—","—","—","26_5.2 · 26_5.3 · 27_BP_C_3 · 27_BP_C_2","26_5.2 || 2026-08-25","Schlussbauzone (#2)","PZ2 (#3)","26_5.2"
"1602","D","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.00","","2","","","—","—","—","—","—","26_5.2 · 26_5.3 · 27_BP_C_3 · 27_BP_C_2","26_5.2 || 2026-08-25","Schongebiet (#1)","PZ2 (#3)","26_5.2"
"1603","E","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.07","","2","","","—","—","—","—","—","26_5.2 · 26_5.3 · 27_BP_C_4 · 27_BP_C_3 · 27_BP_C_2","26_5.2 || 2026-08-25","Schongebiet (#1)","PZ2 (#3)","26_5.2"
"1604","C","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.08","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_BP_C_4 · 27_BP_C_3","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1605","B","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.08","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_BP_C_4 · 27_BP_C_3","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1606","D","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2015.64","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1609","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1999.48","","2","18","6","2.9.2025","30.9.2025","—","3.9.2025","30.9.2025","26_1.3/BP_B_6 · 26_BP_B_5","","","PZ25 (#12)",""
"1610","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1999.40","","2","22","7","8.10.2025","13.10.2025","—","23.9.2025","13.10.2025","26_1.2 · 26_BP_B_5","","","PZ25 (#12)",""
"1611","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1999.72","","2","22","8","8.10.2025","13.10.2025","—","29.9.2025","13.10.2025","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_1.2 || 2026-05-06","","PZ25 (#12)","26_1.2"
"1612","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1999.83","","2","22","9","8.10.2025","13.10.2025","—","9.10.2025","13.10.2025","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_1.2 || 2026-05-06","","PZ25 (#12)","26_1.2"
"1613","B_2025","","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1998.96","B4-10-1","2","29","2","30.9.2025","24.4.2026","—","—","—","26_1.1 · 26_1.2 · 26_BP_B_4","26_1.1 || 2026-04-24","","PZ25 (#12)","26_1.1"
"1615","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1997.76","","2","19","9","2.9.2025","26.9.2025","—","10.9.2025","26.9.2025","26_1.3/BP_B_6 · 26_BP_B_5","","","PZ25 (#12)",""
"1616","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1998.10","","2","14","7","2.9.2025","26.9.2025","—","8.9.2025","26.9.2025","26_1.3/BP_B_6 · 26_BP_B_5","","","PZ25 (#12)",""
"1617","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1998.08","","2","14","8","2.9.2025","26.9.2025","—","3.9.2025","26.9.2025","26_1.3/BP_B_6 · 26_BP_B_5","","","PZ25 (#12)",""
"1618","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1997.95","","2","14","9","2.9.2025","26.9.2025","—","2.9.2025","26.9.2025","26_1.3/BP_B_6 · 26_BP_B_7","","","PZ25 (#12)",""
"1619","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1998.00","","2","14","10","2.9.2025","26.9.2025","—","2.9.2025","26.9.2025","26_1.3/BP_B_6 · 26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 27_8.1","","","PZ25 (#12)",""
"1620","B_2025","","Passstück bestellt","Injiziert","Bei Mauchle bestellt","Nicht begonnen","","10","1996.92","B2-9-4","2","37","7","—","—","—","—","—","26_1.3/BP_B_6","26_1.3 || 2026-05-18","","PZ25 (#12)","26_1.3"
